Zygiella
Zoraida
Kaniska canace
Kamalia tattakana
Kadsura matsudae
Kadsura
Justicia procumbens
Junonia orithya
Juniperus squamata
Juniperus formosana
Juncus effusus
Juncus decipiens
Juncus
Juglans mandshurica mandshurica
Ixeris chinensis
Itea parviflora
Itea
Isodontia
Iotaphora admirabilis
Insecta
Impatiens uniflora
Impatiens tayemonii
Ilex tugitakayamensis
Ilex maximowicziana
Ilex lonicerifolia
Ilex hayataiana
Ilex bioritsensis
Idgia flavicollis
Idgia bimaculata
Idgia
Idesia polycarpa
Icmadophila ericetorum
Ichneumonoidea
Ichneumonidae
Hypogymnia
Hypochaeris radicata
Hypnales
Hypnaceae
Hypholoma fasciculare
Hypersypnoides punctosa
Hypericum taihezanense
Hypericum nagasawae
Hymenophyllum okadae
Hymenogastraceae
Hydrocotyle verticillata
Hydrocotyle sibthorpioides
Hydrocotyle setulosa
Hydrocotyle nepalensis
Hydrocotyle batrachium
Hydrocotyle
Hydrangea macrophylla
Hydrangea integrifolia
Hydrangea fauriei
Hydrangea chinensis
Hydrangea aspera
Huperzia javanica
Horornis fortipes robustipes
Hoplistodera pulchra
Homoeocerus striicornis
Hirundo rustica
Heterotropa
Heteroscyphus
Heteroptera
Heteropolygonatum alte-lobatum
Heterophasia auricularis
Hesudra divisa
Hesperiinae
Herminiinae
Hemiphragma heterophyllum
Hemiboea bicornuta
Helwingia japonica liukiuensis
Helwingia japonica
Heloniopsis umbellata
Hedera rhombea formosana
Hedera rhombea
Hasora taminatus vairacana
Haplopteris flexuosa
Halyini
Haematomma
Habrosyne pterographa
Gynura japonica
Gynostemma pentaphyllum
Gymnopilus sapineus
Goodyera velutina
Goodyera schlechtendaliana
Goodyera nankoensis
Goodyera
Gonostegia triandra
Goniophlebium transpianense
Goniophlebieae
Gnaphaliinae
Glechoma grandis
Geranium wilfordii
Geranium thunbergii
Geranium suzukii
Geranium robertianum
Geranium hayatanum
Geranium carolinianum
Geothelphusa monticola
Geometridae
Gentiana scabrida punctulata
Gentiana scabrida
Gentiana flavomaculata
Gentiana davidii formosana
Gentiana arisanensis
Geisha distinctissima
Geastrum triplex
Geastrum
Gaultheria leucocarpa cumingiana
Gastrochilus
Ganoderma tsugae
Ganoderma applanatum
Galium spurium
Galium formosense
Galium echinocarpum
Galium
Galinsoga quadriradiata
Galiella amurensis
Galerucinae
Galerina
Galeola lindleyana
Galeola falconeri
Galeola
Furusawaia tahsiangi
Fungi
Fulgoroidea
Frangula crenata
Formicidae
Fomes fomentarius
Festuca myuros
Favolaschia calocera
Fatsia polycarpa
Fatsia
Falcicornis tenuecostatus mochizukii
Fagus hayatae
Fagaceae
Euthalia insulae
Eusthenes
Eurya strigillosa
Eurya crenatifolia
Eurya
Eurostus validus
Euproctis taiwana
Euproctis sparsa
Euphrasia transmorrisonensis
Euphrasia nankotaizanensis
Eupatorium formosanum
Eupatorium
Euonymus spraguei
Euonymus carnosus
Euonymus
Eumeninae
Erythranthe nepalensis
Eriophyidae
Eriocapitella vitifolia
Eriobotrya deflexa
Erigeron annuus
Ericales
Eragrostis ferruginea
Equisetum ramosissimum
Epobeidia lucifera
Epilobium nankotaizanense
Epilobium hohuanense
Epilobium brevifolium trichoneurum
Epilobium brevifolium
Epilobium amurense
Epilobium
Eocanthecona
Entolomataceae
Enicurus scouleri
Empidoidea
Ellisiophyllum pinnatum
Eligma narcissus
Eleutherococcus trifoliatus
Elatostema parvum
Elatostema obtusum trilobulatum
Elaeocarpus japonicus
Elaeagnus umbellata
Elaeagnus oldhamii
Elaeagnus grandifolia
Elaeagnus glabra
Elaeagnus
Elaeagnaceae
Ectomomyrmex
Ebrechtella tricuspidata
Dysosma pleiantha
Dryopteris yoroii
Dryopteris wallichiana
Dryopteris subatrata
Dryopteris namegatae
Dryopteris melanocarpa
Dryopteris fructuosa
Dryopteris formosana
Dryopteris atrata stenolepis
Dryopteris
Dorcus hirticornis clypeatus
Dorcus carinulatus
Diptera
Diplopterygium glaucum
Diploderma brevipes
Diplazium viridissimum
Diplazium laxifrons
Diplazium kawakamii
Digitalis purpurea
Dicranaceae
Dichrocephala integrifolia
Dianthus pygmaeus
Dianella ensifolia
Deutzia taiwanensis
Deutzia pulchra
Dermaptera
Deparia petersenii
Dendrobium moniliforme
Delichon dasypus
Deflorita apicalis
Debregeasia orientalis
Davallia
Daphniphyllum himalaense
Daphnephila
Damnacanthus indicus
Damnacanthus giganteus
Damnacanthus angustifolius
Dactylorhiza viridis
Dacrymycetaceae
Dacrymyces stillatus
Dacrymyces spathularia
Dacrymyces chrysospermus
Cystopteris moupinensis
Cyrtomium anomophyllum
Cynoglossum zeylanicum
Cynanchum boudieri
Cyclosa
Cyclommatus asahinai
Cyclocodon lancifolius
Cyclobalanopsis
Curculionoidea
Curculionidae
Cupressaceae
Cucujiformia
Cryptomeria japonica
Cryptoderma formosense
Crepidotus epibryus
Cremastra appendiculata
Crassulaceae
Cosmiomorpha
Coryphopteris castanea
Corydalis pallida
Corydalis ophiocarpa
Corydalis incisa
Corydalis
Cortinarius iodes
Cortinarius
Cornus macrophylla
Cornus controversa
Cornales
Coriaria intermedia
Coreinae
Coprinus comatus
Coprinopsis atramentaria
Coprinellus disseminatus
Conocephalum japonicum
Conocephalum conicum
Conocephalum
Coniogramme intermedia
Comanthosphace formosana
Collybiopsis
Collabieae
Coccinellidae
Clinopodium gracile
Clinopodium chinense
Clinopodium
Clerodendrum trichotomum
Clematis uncinata
Clematis parviloba
Clematis lasiandra
Clematis henryi
Clematis grata
Clematis
Clavulinopsis aurantiocinnabarina
Clavariaceae
Cladonia
Cistelina tricolor
Cirsium taiwanense
Cirsium suzukii
Cirsium japonicum
Cirsium hosokawae
Cirsium arisanense
Cirsium
Circaea alpina imaicola
Circaea alpina
Cinnamomum subavenium
Cinnamomum insularimontanum
Cicindelina
Cichorieae
Cicadellidae
Chrysozephyrus esakii
Chrysosplenium japonicum
Chrysosplenium formosanum
Chrysopidae
Chrysaeglia magnifica
Choaspes xanthopogon
Chimaphila japonica
Chenopodium formosanum
Cheirotonus formosanus
Chamaecyparis obtusa formosana
Chamaecyparis formosensis
Chaerophyllum involucratum
Cetoniinae
Cerrena unicolor
Cercopoidea
Cerastium takasagomontanum
Cerastium subpilosum
Cerastium glomeratum
Cerastium fontanum
Cerastium
Cerambycidae
Cephalotaxus harringtonia wilsoniana
Cephalotaxus harringtonia
Cephalanthera longifolia
Celtis sinensis
Celastrus punctatus
Celastrus kusanoi
Celastrus
Celastrina lavendularis himilcon
