Dryopteris peranema
Tetrastigma obtectum
Cupressaceae
Spirobolus formosae
Tiracola plagiata
Geisha distinctissima
Auricularia fuscosuccinea
Rubus formosensis
Anareolatae
Ipomoea cairica
Spirobolus
Sarcopyramis napalensis
Miresa fulgida
Lemyra alikangensis
Paralebeda plagifera
Parasa
Harpactorini
Berberis hayatana
Anoectochilus
Cymbidium ensifolium
Illicium arborescens
Clematis leschenaultiana
Libythea lepita
Hemipyxis balyi
Afissula expansa
Yashmakia suffusa
Lymantria
Ptilodactylidae
Xenysmoderes consularis
Xenocatantops
Muntiacus reevesi micrurus
Phoenicurus fuliginosus
Liparis
Viola inconspicua nagasakiensis
Murdannia loriformis
Thrixspermum formosanum
Heliophorus ila
Ischnura senegalensis
Carbula crassiventris
Ochthera
Alticini
Kanoscarta kanoniella
Neohelota helleri
Lispe
Coelophora saucia
Graphium doson
Papilio bianor thrasymedes
Pieris rapae
Trilophidia annulata
Acanthocoris scaber
Idgia
Asplenium pseudolaserpitiifolium
Arachniodes aristata
Petasites formosanus
Aceraius grandis
Henningsomyces candidus
Trametes villosa
Morus indica
Lobariaceae
Cryptomeria japonica
Crematogaster rogenhoferi
Cerastium glomeratum
Ficus sarmentosa nipponica
Glechoma grandis
Heterodermia speciosa
Herbertus
Hypotrachyna afrorevoluta
Cuphea hyssopifolia
Aves
Orthoptera
Christella parasitica
Rubus corchorifolius
Phytolacca americana
Cremastra appendiculata
Nubelaria arisanensis
Elatostema obtusum
Sphagnum palustre
Selaginella remotifolia
Cryptotaenia japonica
Samia formosana
Arisaema
Conocephalum conicum
Poa annua
Phallus luteus
Vertebrata
Actinopterygii
Pollia japonica
Plantago
Rumex
Cuphea carthagenensis
Chrysomelinae
Hypopterygium
Alpinia shimadae
Toona sinensis
Pueraria montana
Eucalyptus
Ardisia cornudentata
Epilobium platystigmatosum
Rubus fraxinifolius
Melilotus
Euterpnosia chilanensis
Graphium eurous
Loxogramme salicifolia
Lepisorus fortuni
Asplenium cuneatiforme
Leptochilus wrightii
Arachniodes amabilis fimbriata
Psilotum nudum
Diestrammena japanica
Sinomicrurus swinhoei
Eucorydia dasytoides
Syntomini
Paraglenea swinhoei
Macrobrochis gigas
Tetradium ruticarpum
Sassafras randaiense
Cyclommatus mniszechi mniszechi
Selliguea lehmannii
Dryopteris formosana
Callicarpa randaiensis
Rubus croceacanthus
Eurya glaberrima
Smilax lanceifolia
Plagiogyria
Marasmius
Sphedanolestes impressicollis
Tetradium glabrifolium
Clavaria
Paratimomenus flavocapitata
Hydrangea integrifolia
Gleicheniaceae
Macrobrochis
Calliandra riparia
Buergeria robusta
Clematis
Sigesbeckia orientalis
Quercus longinux
Mazus alpinus
Salvia japonica
Daphniphyllum himalaense
Machilus japonica japonica
Spiraea formosana
Pterygota
Cyclea ochiaiana
Tortricidae
Stephania
Cucurbitaceae
Gonostegia triandra
Lithocarpus kawakamii
Castanopsis carlesii
Pholidota cantonensis
Eria scabrilinguis
Hynobius fucus
Agaricales
Xenortholitha corioidea
