Pinales
Bignonieae
Habenaria pantlingiana
Hylodesmum laterale
Mallotus japonicus
Pheidole
Russula
Eusthenes
Hylodesmum leptopus
Egeria densa
Formosania lacustris
Bubulcus ibis
Atractomorpha sinensis
Tainia cordifolia
Tenthredinidae
Zeuxine strateumatica
Alcippe morrisonia
Danaus genutia
Mallotus paniculatus
Macaca cyclopis
Anredera cordifolia
Plinia cauliflora
Ravenala
Catopsilia pomona
Puhuaea sequax
Ischyja
Pistia stratiotes
Swertia shintenensis
Petaurista grandis
Petaurista lena
Paraleprodera itzingeri
Physignathus cocincinus
Menemerus
Fagus
Ideopsis similis
Takydromus stejnegeri
Leptosia nina niobe
Neolucanus swinhoei
Micrandrena
Parancistrocerus kuraruensis
Pseumenes depressus
Megachile bicolor
Lasioglossum oppositum
Tachypompilus analis
Polistes takasagonus
Vespa basalis
Vespa mandarinia
Ampulex alisana
Pericrocotus cantonensis
Parapolybia varia
Polistes tenebricosus
Lindera megaphylla
Phoebe formosana
Murdannia bracteata
Maculonomia
Mansoa alliacea
Orthetrum pruinosum neglectum
Cercopoidea
Rhus chinensis roxburghii
Polyspora axillaris
Clematis crassifolia
Calanthe
Isodon amethystoides
Cymbidium dayanum
Hemiboea bicornuta
Salticinae
Ceratina unicolor
Apodynerus formosensis
Megachile faceta
Cephalantheropsis obcordata
Lasioglossum subopacum
Nomia planiventris
Enkianthus perulatus
Anas platyrhynchos
Cerceris sinensis
Rhagastis binoculata
Collabium formosanum
Arge similis
Chrysocoris fascialis
Boletobiinae
Phrixolepia inouei
Drapetodes mitaria
Arctiini
Addaea
Thiania suboppressa
Diaphanes citrinus
Cerceris formosana
Pidorus atratus
Paranauphoeta formosana
Pentatomoidea
Farfugium japonicum formosanum
Dendrobium sanseiense
Myrmarachne
Yaginumaella lobata
Psocodea
Junonia iphita
Medinilla
Lasianthus hispidulus
Calanthe arisanensis
Liparis nakaharae
Actitis hypoleucos
Graphium cloanthus kuge
Medinilla formosana
Hynobius fucus
Pyracantha koidzumii
Fatsia polycarpa
Camellia sinensis
Potentilla indica
Thysanoplusia reticulata
Symbrenthia lilaea lunica
Paratopula
Timandra stueningi
Baetidae
Macrocilix mysticata flavotincta
Carbula crassiventris
Leuchalictus
Muscidae
Coelophora saucia
Dypsocus
Parantica aglea maghaba
Calamoceratidae
Miltochrista acteola
Diekeana admirabilis
Tracheophyta
Selaginella tamariscina
Trema cannabina
Selaginella doederleinii
Cinnamomum camphora
Cyclosa omonaga
Pericrocotus solaris
Rosaceae
Aix galericulata
Thosea sinensis
Narosoideus vulpina
Argiope
Turdus naumanni
Lauraceae
Rumex
Lactucinae
Erigeron sumatrensis
Ponyalis
Jasminum
Aglaomorpha histrio formosana
Disporum kawakamii
Lamiini
Pseudophegopteris subaurita
Sedum formosanum
Osmunda banksiifolia
Lindera communis
Quercus aliena
Stichophthalma howqua formosana
Ptilocerus kanoi
Callicarpa pilosissima
Decaneuropsis gratiosa
Epipremnum pinnatum
Perrottetia arisanensis
Teucrium viscidum
Rhondia formosa
Chloridolum lameeri
Molorchus
Vincetoxicum hirsutum
Clelea formosana
Glycosmis parviflora
Ardisia crenata
Cirsium
Prosopocoilus forficula
Scarabaeidae
Spiranthes sinensis
Cinnamomum osmophloeum
Pleione formosana
Diospyros vaccinioides
Piper taiwanense
Drypetes littoralis
Elatostema
Papilio memnon
Cupressaceae
Zanthoxylum scandens
Susica sinensis
Spilomelinae
Calleida lepida
Deutzia pulchra
Xeromphalina campanella
Erotinae
Eutrogia morosa
Bulbophyllum retusiusculum
Erythrodes chinensis
Symplocos cochinchinensis laurina
Aspleniinae
Elaphiceps cervus
Lycocerus
Hylaeus
Patellapis formosicola
Pompilidae
Pentaphylacaceae
Themus purpuratus
Eleocharis
Bretschneidera sinensis
Machilus thunbergii
Telchinia issoria
Neoproutista pseudoalbicosta
