date,lat,lon,scientific_name,common_name,iconic_taxon_name,taxon_id,river
2018/4/22 00:00,24.5560696,121.499829,Persicaria chinensis,火炭母,Plantae,204375,TuChang
2018/4/22 00:00,24.55689343,121.4997954,Theaceae,山茶科,Plantae,71645,TuChang
2018/4/22 00:00,24.5569278,121.4997822,Platycladus orientalis,側柏,Plantae,135659,TuChang
2018/4/22 00:00,24.55694333,121.4997733,Tracheophyta,維管束植物門,Plantae,211194,TuChang
2018/4/22 00:00,24.55697092,121.499821,Oenanthe javanica,水芹菜,Plantae,359175,TuChang
2018/4/22 00:00,24.55702538,121.4999481,Callicarpa formosana,杜虹花,Plantae,461502,TuChang
2018/4/22 00:00,24.55704952,121.4998999,Deutzia pulchra,大葉溲疏,Plantae,484809,TuChang
2018/4/22 00:00,24.55701764,121.4997982,Osmanthus fragrans,桂花,Plantae,371103,TuChang
2018/4/22 00:00,24.55696917,121.4999578,Bidens alba,大花咸豐草,Plantae,1095846,TuChang
2018/4/22 00:00,24.55699106,121.4999097,Phalaenopsis,蝴蝶蘭屬,Plantae,140477,TuChang
2017/12/30 00:00,24.8633991,121.5503345,Cyclophorus formosaensis,台灣大山蝸牛,Mollusca,706535,NanShi
2017/12/30 00:00,24.8633991,121.5503345,Plectotropis mackensii,台灣盾蝸牛,Mollusca,1267748,NanShi
2018/5/3 00:00,24.7808342,121.6069717,Myotis rufoniger,赤黑鼠耳蝠,Mammalia,897944,CuKeng
2018/5/3 00:00,24.76113829,121.6094554,Metaphire,腔環蚓屬,Animalia,516514,CuKeng
2018/5/3 00:00,24.76901968,121.6106848,Microporus affinis,相鄰小孔菌,Fungi,179112,CuKeng
2018/5/3 00:00,24.76541096,121.6083272,Mammalia,哺乳類,Mammalia,40151,CuKeng
2018/5/3 00:00,24.78094631,121.6075356,Myotis rufoniger,赤黑鼠耳蝠,Mammalia,897944,CuKeng
2018/5/3 00:00,24.76961782,121.6108871,Sus scrofa taivanus,臺灣野豬,Mammalia,712381,CuKeng
2018/5/3 00:00,24.76312863,121.6069515,Metaphire,腔環蚓屬,Animalia,516514,CuKeng
2018/5/3 00:00,24.76020609,121.6119364,Metaphire,腔環蚓屬,Animalia,516514,CuKeng
2018/5/7 00:00,24.77952003,121.6078186,Monachosorum henryi,稀子蕨,Plantae,568985,CuKeng
2018/5/7 00:00,24.77700806,121.6077042,Actias sinensis subaurea,臺灣長尾水青蛾,Insecta,879883,CuKeng
2018/5/7 00:00,24.78173447,121.607338,Notodontidae,舟蛾科,Insecta,47718,CuKeng
2018/4/15 00:00,24.54634333,121.50744,Halmus chalybeus, ,Insecta,244625,TuChang
2018/5/13 00:00,24.84398972,121.5114234,Centrochelys sulcata,蘇卡達象龜 (非洲盾臂龜),Reptilia,40089,NanShi
2018/5/13 00:00,24.64351149,121.459769,Matrona cyanoptera,白痣珈蟌,Insecta,561312,SanGuang
2017/4/20 00:00,24.6797674,121.3839714,Prunus campanulata,山櫻花,Plantae,199339,SanGuang
2018/5/9 00:00,24.6311773,121.4497495,Trimeresurus stejnegeri,赤尾青竹絲,Reptilia,30953,SanGuang
2018/3/28 00:00,24.65852222,121.4066917,Trimeresurus stejnegeri,赤尾青竹絲,Reptilia,30953,SanGuang
2018/3/28 00:00,24.6439,121.4547889,Trimeresurus stejnegeri,赤尾青竹絲,Reptilia,30953,SanGuang
2018/3/28 00:00,24.64802222,121.4333028,Lycodon rufozonatus,紅斑蛇,Reptilia,539936,SanGuang
2018/3/28 00:00,24.65885833,121.406625,Trimeresurus stejnegeri,赤尾青竹絲,Reptilia,30953,SanGuang
2018/3/28 00:00,24.66838333,121.4072333,Protobothrops mucrosquamatus,龜殼花,Reptilia,30996,SanGuang
2016/6/29 00:00,24.7564181,121.5946327,Fissistigma glaucescens,裏白瓜馥木,Plantae,708916,CuKeng
2018/4/13 00:00,24.75027073,121.6360116,Epidaus sexspinus,白斑素獵椿象 (六刺素獵椿象),Insecta,705526,CuKeng
2018/5/10 00:00,24.64801333,121.4139567,Neopanorpa,新蝎蛉屬,Insecta,708370,SanGuang
2018/5/10 00:00,24.64953833,121.4231883,Dichorragia nesimachus,電蛺蝶,Insecta,324735,SanGuang
2018/5/10 00:00,24.64776167,121.431875,Xystodesmidae,光帶馬陸科,Animalia,47739,SanGuang
2018/5/10 00:00,24.64337333,121.418955,Calosoma maximowiczi,黑廣肩步行蟲,Insecta,359495,SanGuang
2018/5/8 00:00,24.65334833,121.4701917,Nymphalis xanthomelas,緋蛺蝶,Insecta,321054,FanFan
2018/3/27 00:00,24.65413056,121.4720389,Myophonus insularis,台灣紫嘯鶇,Aves,73078,FanFan
2018/5/17 00:00,24.84465333,121.5550217,Odorrana swinhoana,斯文豪氏赤蛙,Amphibia,66264,NanShi
2018/5/17 00:00,24.84523333,121.553955,Odorrana swinhoana,斯文豪氏赤蛙,Amphibia,66264,NanShi
2018/5/1 00:00,24.7564181,121.5946327,Nidirana adenopleura,腹斑蛙,Amphibia,717558,CuKeng
2018/5/26 00:00,24.86203366,121.55102,Tessaratoma papillosa,荔蝽,Insecta,335841,NanShi
2018/5/26 00:00,24.85336752,121.5515631,Graphium doson,木蘭青鳳蝶,Insecta,51576,NanShi
2018/5/26 00:00,24.49788343,121.5348058,Dryopteris,鱗毛蕨屬,Plantae,52672,TianGou
2018/5/31 00:00,24.65227833,121.417795,Lemmaphyllum microphyllum,伏石蕨,Plantae,423765,SanGuang
2018/5/31 00:00,24.71356075,121.558754,Dysosma pleiantha,八角蓮,Plantae,703082,NanShi
2018/5/31 00:00,24.64509167,121.4272217,Eupatorium chinense tozanense,塔山澤蘭,Plantae,709078,SanGuang
2018/5/31 00:00,24.7286389,121.5756107,Acanthophippium striatum,一葉罈花蘭,Plantae,915414,NanShi
2018/6/2 00:00,24.84474962,121.5554947,Ophioderma pendulum,帶狀瓶爾小草,Plantae,965903,NanShi
2018/6/8 00:00,24.64304215,121.4047396,Impatiens tayemonii,黃花鳳仙花,Plantae,710336,SanGuang
2017/7/15 00:00,24.653042,121.404902,Psolodesmus mandarinus dorothea,中華珈蟌南台亞種,Insecta,602999,SanGuang
2017/7/15 00:00,24.653042,121.404902,Orthetrum triangulare,鼎異色灰蜻 (鼎脈灰蜻),Insecta,107981,SanGuang
2011/2/27 00:00,24.78380722,121.6183541,Ciconia boyciana,東方白鸛,Aves,4739,CuKeng
2018/6/14 00:00,24.75362778,121.6353226,Nidirana adenopleura,腹斑蛙,Amphibia,717558,CuKeng
2018/6/14 00:00,24.75222778,121.6341934,Melastoma candidum,野牡丹,Plantae,165229,CuKeng
2018/6/14 00:00,24.75400543,121.635376,Houttuynia cordata,魚腥草,Plantae,157642,CuKeng
2018/6/14 00:00,24.75411592,121.6354963,Nephrolepis cordifolia,腎蕨,Plantae,48233,CuKeng
2018/6/14 00:00,24.75222778,121.6341934,Solanum pseudocapsicum,瑪瑙珠 珊瑚豆 玉珊瑚,Plantae,169078,CuKeng
2018/6/14 00:00,24.75410496,121.6354172,Malvaviscus arboreus,南美朱槿,Plantae,120942,CuKeng
2018/6/17 00:00,24.7564181,121.5946327,Bayadera brevicauda,短尾幽蟌,Insecta,358440,CuKeng
2018/6/17 00:00,24.7564181,121.5946327,Orthetrum melania,灰黑蜻蜓,Insecta,325351,CuKeng
2018/6/18 00:00,24.75631737,121.5945843,Muntiacus reevesi,山羌,Mammalia,42187,CuKeng
2018/6/17 00:00,24.7564181,121.5946327,Matrona cyanoptera,白痣珈蟌,Insecta,561312,CuKeng
2018/6/16 00:00,24.75382824,121.6356236,Nidirana adenopleura,腹斑蛙,Amphibia,717558,CuKeng
2018/6/16 00:00,24.75395734,121.6356611,Nephila pilipes,人面蜘蛛,Arachnida,68390,CuKeng
2018/6/16 00:00,24.75354677,121.6361848,Canna indica,美人蕉,Plantae,146643,CuKeng
2018/6/16 00:00,24.75252166,121.6394651,Coptocephala pallens,黑斑紅長筒金花蟲,Insecta,1193565,CuKeng
2018/6/16 00:00,24.75378927,121.6357416,Hoplobatrachus chinensis,虎皮蛙,Amphibia,1423577,CuKeng
2018/6/16 00:00,24.75384529,121.6356638,Polistes rothneyi,黃長腳蜂,Insecta,358407,CuKeng
2018/6/16 00:00,24.75385991,121.6356879,Kurixalus idiootocus,面天樹蛙,Amphibia,26651,CuKeng
2018/6/16 00:00,24.753989,121.635814,Pseudocopera ciliata,白狹扇蟌 (環紋琵蟌),Insecta,561768,CuKeng
2018/6/16 00:00,24.75428698,121.6361481,Corymica pryeri,滿月圓窗黃尺蛾,Insecta,356303,CuKeng
2018/6/16 00:00,24.75419646,121.6357372,Sipyloidea sipylus,棉桿竹節蟲,Insecta,336852,CuKeng
2018/6/16 00:00,24.75393298,121.6356102,Lycodon rufozonatus,紅斑蛇,Reptilia,539936,CuKeng
2018/6/16 00:00,24.75409374,121.635645,Heteropoda venatoria,白額高腳蛛,Arachnida,48765,CuKeng
2018/6/16 00:00,24.75416423,121.6359494,Argiope aetheroides,中形金蛛 (類高居金蛛),Arachnida,349001,CuKeng
2017/11/6 00:00,24.64998957,121.4735502,Polypodiodes formosana,臺灣水龍骨,Plantae,523962,FanFan
2017/11/6 00:00,24.6370601,121.412118,Dendrocopos leucotos,大赤啄木,Aves,17943,SanGuang
2017/11/6 00:00,24.65027377,121.4730524,Myophonus insularis,台灣紫嘯鶇,Aves,73078,FanFan
2018/5/22 00:00,24.86572411,121.5376419,Araneae,蜘蛛目,Arachnida,47118,NanShi
2018/6/23 00:00,24.548119,121.505593,Polyporales,多孔菌目,Fungi,47380,TuChang
2018/6/23 00:00,24.54826662,121.5052434,Therates fruhstorferi sauteri,琉璃突眼虎甲蟲,Insecta,906191,TuChang
2018/6/23 00:00,24.54826662,121.5052434,Muntiacus reevesi,山羌,Mammalia,42187,TuChang
2018/6/23 00:00,24.54826662,121.5052434,Buergeria otai,太田樹蛙,Amphibia,710315,TuChang
2018/6/23 00:00,24.54826662,121.5052434,Trigoniulus tertius,厚甲馬陸,Animalia,563728,TuChang
2018/4/25 00:00,24.89923936,121.5492934,Limnonectes fujianensis,福建大頭蛙,Amphibia,25935,NanShi
2018/4/25 00:00,24.89926521,121.5493307,Bufo bankorensis,盤古蟾蜍,Amphibia,21614,NanShi
2018/6/4 00:00,24.75663833,121.59375,Eterusia,茶斑蛾屬,Insecta,124711,CuKeng
2018/6/23 00:00,24.86411167,121.5522083,Titanodula formosana,臺灣斧螳,Insecta,1391078,NanShi
2018/2/12 00:00,24.85207,121.5528417,Calletaera obliquata,斜紋點尺蛾,Insecta,779052,NanShi
2018/2/27 00:00,24.89161353,121.540424,Urva urva formosana,棕簑貓,Mammalia,1272237,NanShi
2018/6/27 00:00,24.68668243,121.538359,Rana sauteri,梭德氏赤蛙,Amphibia,134967,SongLuo
2018/6/3 00:00,24.67419667,121.3922667,Euthalia formosana,臺灣綠蛺蝶,Insecta,734129,SanGuang
2018/6/3 00:00,24.67426333,121.39222,Kaniska canace,琉璃蛺蝶,Insecta,125589,SanGuang
2018/6/3 00:00,24.65797,121.4061967,Anoplophora wusheana,霧社星天牛,Insecta,737115,SanGuang
2018/6/10 00:00,24.8665804,121.5511519,Cantao ocellatus,角盾蝽 (黃盾背椿象),Insecta,145656,NanShi
2018/6/10 00:00,24.876446,121.563043,Asota plana lacteata,長斑擬燈蛾,Insecta,202259,NanShi
2018/6/10 00:00,24.876343,121.562976,Graphium doson postianus,青斑鳳蝶,Insecta,712456,NanShi
2016/8/31 00:00,24.83857155,121.5347519,Chrysochroa fulgidissima,彩虹吉丁蟲,Insecta,360062,NanShi
2018/6/30 00:00,24.651006,121.426145,Trimeresurus stejnegeri,赤尾青竹絲,Reptilia,30953,SanGuang
2018/6/29 00:00,24.85192584,121.5280842,Columba livia domestica,家鴿,Aves,122767,NanShi
2018/7/1 00:00,24.67411667,121.3922883,Polyporales,多孔菌目,Fungi,47380,SanGuang
2018/7/1 00:00,24.68467235,121.5554346,Cheirotonus formosanus,台灣長臂金龜,Insecta,737464,SongLuo
2018/7/2 00:00,24.67979384,121.3841448,Melaleuca,白千層屬,Plantae,72232,SanGuang
2018/6/22 00:00,24.64507443,121.4167927,Protobothrops mucrosquamatus,龜殼花,Reptilia,30996,SanGuang
2018/6/21 00:00,24.64535,121.4350889,Trimeresurus stejnegeri,赤尾青竹絲,Reptilia,30953,SanGuang
2018/6/21 00:00,24.64361111,121.4548111,Trimeresurus stejnegeri,赤尾青竹絲,Reptilia,30953,SanGuang
2010/5/28 00:00,24.75684678,121.5932943,Muntiacus reevesi,山羌,Mammalia,42187,CuKeng
2010/5/26 00:00,24.75676884,121.5940533,Macaca cyclopis,臺灣獼猴,Mammalia,43450,CuKeng
2018/6/30 00:00,24.650901,121.42658,Lycodon ruhstrati,白梅花蛇,Reptilia,67713,SanGuang
2018/6/30 00:00,24.65083,121.426736,Pareas atayal,泰雅鈍頭蛇,Reptilia,517749,SanGuang
2018/7/1 00:00,24.654037,121.407063,Sephisa daimio,臺灣燦蛺蝶,Insecta,739359,SanGuang
2018/1/22 00:00,24.64995667,121.4738233,Indolestes cyaneus,青紋絲蟌,Insecta,103410,FanFan
2016/4/30 00:00,24.658643,121.573972,Limnonectes fujianensis,福建大頭蛙,Amphibia,25935,SongLuo
2018/5/13 00:00,24.61323,121.4008867,Agaricales,傘菌目,Fungi,47167,SanGuang
2018/7/4 00:00,24.47453296,121.376212,Diploderma brevipes,短肢攀蜥,Reptilia,797622,FuBuEr
2018/7/4 00:00,24.7525851,121.6124397,Lycianthes biflora,雙花龍葵,Plantae,604765,CuKeng
2006/9/28 00:00,24.63423155,121.6139117,Murina puta,臺灣管鼻蝠,Mammalia,40599,QingShui
2013/9/27 00:00,24.75582789,121.5956812,Myotis rufoniger,赤黑鼠耳蝠,Mammalia,897944,CuKeng
